reading_order,kind,page_num,pdf_x0,pdf_y0,pdf_x1,pdf_y1,img_x0,img_y0,img_x1,img_y1,content
2,text,1,36.0,675.77,485.79,698.77,75,194,1012,242,General Dynamics Corporation NYSE:GD
3,text,1,36.0,640.42,456.89,665.42,75,263,951,315,FQ1 2025 Earnings Call Transcripts
4,text,1,36.0,614.92,380.03,632.92,75,331,791,368,"Wednesday, April 23, 2025 1:00 PM GMT"
5,text,1,36.0,593.07,332.02,609.07,75,381,691,414,S&P Global Market Intelligence Estimates
11,text,1,192.92,575.55,233.8,583.55,401,434,487,450,-FQ1 2025-
12,text,1,334.92,575.55,375.82,583.55,697,434,782,450,-FQ2 2025-
13,text,1,444.09,575.55,479.63,583.55,925,434,999,450,-FY 2025-
82,text,1,550.59,575.55,586.15,583.55,1147,434,1221,450,-FY 2026-
20,text,1,120.2,557.5,164.51,564.5,250,473,342,488,CONSENSUS
21,text,1,198.99,557.5,227.75,564.5,414,473,474,488,ACTUAL
22,text,1,266.48,557.5,302.23,564.5,555,473,629,488,SURPRISE
23,text,1,333.2,557.5,377.51,564.5,694,473,786,488,CONSENSUS
24,text,1,404.2,557.5,448.51,564.5,842,473,934,488,CONSENSUS
85,text,1,478.71,557.5,516.02,564.5,997,473,1075,488,GUIDANCE
86,text,1,546.2,557.5,590.51,564.5,1137,473,1230,488,CONSENSUS
32,text,1,40.7,537.55,104.27,545.55,84,513,217,530,EPS Normalized
33,text,1,134.59,537.55,150.15,545.55,280,513,312,530,3.48
34,text,1,205.59,537.55,221.15,545.55,428,513,460,530,3.66
44,text,1,42.7,516.86,100.01,524.86,88,556,208,573,Revenue  (mm)
45,text,1,125.69,516.86,159.04,524.86,261,556,331,573,11943.80
46,text,1,196.69,516.86,230.04,524.86,409,556,479,573,12223.00
50,text,1,36.0,501.66,89.76,509.66,75,588,187,604,Currency: USD
51,text,1,36.0,492.46,196.51,500.46,75,607,409,624,Consensus as of  Apr-23-2025 2:27 PM GMT
37,text,1,283.09,536.8,298.65,544.8,589,514,622,531,5.17
49,text,1,283.09,516.11,298.65,524.11,589,558,622,574,2.34
35,text,1,347.59,537.55,363.15,545.55,724,513,756,530,3.30
36,text,1,416.36,537.55,436.37,545.55,867,513,909,530,14.85
47,text,1,338.69,516.86,372.04,524.86,705,556,775,573,12060.39
48,text,1,409.69,516.86,443.04,524.86,853,556,923,573,50246.52
93,text,1,491.82,537.55,502.92,545.55,1024,513,1047,530,NA
106,text,1,491.82,516.86,502.92,524.86,1024,556,1047,573,NA
94,text,1,562.82,537.55,573.92,545.55,1172,513,1195,530,NA
107,text,1,562.82,516.86,573.92,524.86,1172,556,1195,573,NA
95,text,1,629.36,537.55,649.37,545.55,1311,513,1352,530,14.80
108,text,1,622.69,516.86,656.04,524.86,1297,556,1366,573,50300.00
96,text,1,704.82,537.55,715.92,545.55,1468,513,1491,530,NA
109,text,1,704.82,516.86,715.92,524.86,1468,556,1491,573,NA
97,text,1,775.82,537.55,786.92,545.55,1616,513,1639,530,NA
110,text,1,775.82,516.86,786.92,524.86,1616,556,1639,573,NA
98,text,1,842.36,537.55,862.37,545.55,1754,513,1796,530,16.68
111,text,1,835.69,516.86,869.04,524.86,1741,556,1810,573,52605.04
53,text,1,286.0,229.06,369.46,237.06,595,1156,769,1172,- EPS NORMALIZED  -
55,text,1,201.33,211.01,245.63,218.01,419,1195,511,1210,CONSENSUS
56,text,1,334.11,211.01,362.87,218.01,696,1195,755,1210,ACTUAL
113,text,1,455.61,211.01,491.36,218.01,949,1195,1023,1210,SURPRISE
59,text,1,80.71,191.25,116.28,199.25,168,1234,242,1251,FQ2 2024
64,text,1,80.71,170.91,116.28,178.91,168,1277,242,1293,FQ3 2024
69,text,1,80.71,150.58,116.28,158.58,168,1319,242,1336,FQ4 2024
74,text,1,80.71,130.24,116.28,138.24,168,1361,242,1378,FQ1 2025
60,text,1,215.72,191.25,231.28,199.25,449,1234,481,1251,3.31
65,text,1,215.72,170.91,231.28,178.91,449,1277,481,1293,3.51
70,text,1,215.72,150.58,231.28,158.58,449,1319,481,1336,4.03
75,text,1,215.72,130.24,231.28,138.24,449,1361,481,1378,3.48
61,text,1,340.72,191.25,356.28,199.25,709,1234,742,1251,3.26
66,text,1,340.72,170.91,356.28,178.91,709,1277,742,1293,3.35
71,text,1,340.72,150.58,356.28,158.58,709,1319,742,1336,4.15
76,text,1,340.72,130.24,356.28,138.24,709,1361,742,1378,3.66
114,text,1,464.38,190.68,494.6,198.68,967,1236,1030,1252,(1.51 %)
115,text,1,464.38,170.34,494.6,178.34,967,1278,1030,1295,(4.56 %)
116,text,1,467.05,150.01,491.94,158.01,973,1320,1024,1337,2.98 %
117,text,1,467.05,129.67,491.94,137.67,973,1363,1024,1379,5.17 %
78,text,1,36.0,35.34,351.24,42.34,75,1561,731,1576,"COPYRIGHT © 2025 S&P Global Market Intelligence, a division of S&P Global Inc. All rights reserved"
79,text,1,36.0,25.41,190.89,35.41,75,1576,397,1597,spglobal.com/marketintelligence
118,text,1,561.0,36.73,566.0,45.73,1168,1554,1179,1573,1
1,figure,1,36.0,719.0,155.0,756.0,75,75,322,152,[FIGURE]
31,figure,1,270.09,538.49,283.09,547.49,562,509,589,528,[FIGURE]
43,figure,1,270.09,517.8,283.09,526.8,562,552,589,571,[FIGURE]
