reading_order,kind,page_num,pdf_x0,pdf_y0,pdf_x1,pdf_y1,img_x0,img_y0,img_x1,img_y1,content
83,text,1,99.19,749.14,496.09,763.49,206,163,1033,193,In Defense of RAG in the Era of Long-Context Language Models
1,text,1,129.92,714.81,166.59,726.77,270,239,347,264,Tan Yu
2,text,1,127.01,700.78,169.5,712.74,264,269,353,293,NVIDIA
3,text,1,93.3,686.83,203.21,698.79,194,298,423,323,"Santa Clara, California"
4,text,1,116.21,672.89,180.3,684.84,242,327,375,352,United States
5,text,1,103.42,659.44,193.08,671.4,215,355,402,380,tayu@nvidia.com
84,text,1,268.24,714.81,327.04,726.77,558,239,681,264,Anbang Xu
86,text,1,276.39,700.78,318.88,712.74,575,269,664,293,NVIDIA
88,text,1,242.69,686.83,352.59,698.79,505,298,734,323,"Santa Clara, California"
90,text,1,265.59,672.89,329.68,684.84,553,327,686,352,United States
92,text,1,243.84,659.44,351.44,671.4,508,355,732,380,anbangx@nvidia.com
85,text,1,406.67,714.81,487.37,726.77,847,239,1015,264,Rama Akkiraju
87,text,1,425.78,700.78,468.27,712.74,887,269,975,293,NVIDIA
89,text,1,392.07,686.83,501.98,698.79,816,298,1045,323,"Santa Clara, California"
91,text,1,414.98,672.89,479.07,684.84,864,327,998,352,United States
93,text,1,387.25,659.44,506.8,671.4,806,355,1055,380,rakkiraju@nvidia.com
6,text,1,157.76,608.53,202.24,620.48,328,461,421,486,Abstract
7,text,1,87.87,590.88,272.13,600.84,183,502,566,522,Overcoming the limited context limitations in
8,text,1,87.87,578.93,272.13,588.89,183,527,566,547,"early-generation LLMs, retrieval-augmented"
9,text,1,87.87,566.97,272.12,576.93,183,551,566,572,generation (RAG) has been a reliable solution
11,text,1,87.87,555.02,273.87,564.98,183,576,570,597,for context-based answer generation in the past.
14,text,1,87.87,543.06,272.13,553.02,183,601,566,622,"Recently, the emergence of long-context LLMs"
16,text,1,87.87,531.11,272.3,541.07,183,626,567,647,allows the models to incorporate much longer
17,text,1,87.87,519.15,273.87,529.11,183,651,570,672,"text sequences, making RAG less attractive."
20,text,1,87.87,507.2,272.13,517.16,183,676,566,697,Recent studies show that long-context LLMs
22,text,1,87.87,495.24,272.12,505.2,183,701,566,722,significantly outperform RAG in long-context
24,text,1,87.87,483.29,273.77,493.25,183,726,570,747,applications. Unlike the existing works favor-
25,text,1,87.87,471.33,273.77,481.29,183,751,570,771,"ing the long-context LLM over RAG, we ar-"
27,text,1,87.87,459.38,272.13,469.34,183,776,566,796,gue that the extremely long context in LLMs
29,text,1,87.87,447.42,273.78,457.38,183,801,570,821,suffers from a diminished focus on relevant in-
31,text,1,87.87,435.46,272.13,445.43,183,825,566,846,formation and leads to potential degradation in
34,text,1,87.87,423.51,272.13,433.47,183,850,566,871,answer quality. This paper revisits the RAG in
36,text,1,87.87,411.55,272.13,421.52,183,875,566,896,long-context answer generation. We propose
38,text,1,87.87,399.6,273.78,409.56,183,900,570,921,an order-preserve retrieval-augmented genera-
40,text,1,87.87,387.64,272.47,397.61,183,925,567,946,"tion (OP-RAG) mechanism, which significantly"
42,text,1,87.87,375.69,273.77,385.65,183,950,570,971,improves the performance of RAG for long-
44,text,1,87.87,363.73,272.13,373.7,183,975,566,996,context question-answer applications. With
47,text,1,87.87,351.78,272.13,361.74,183,1000,566,1021,"OP-RAG, as the number of retrieved chunks"
49,text,1,87.87,339.82,272.13,349.79,183,1025,566,1045,"increases, the answer quality initially rises, and"
51,text,1,87.87,327.87,272.13,337.83,183,1050,566,1070,"then declines, forming an inverted U-shaped"
54,text,1,87.87,315.91,272.13,325.87,183,1075,566,1095,curve. There exist sweet points where OP-RAG
56,text,1,87.87,303.96,272.13,313.92,183,1099,566,1120,could achieve higher answer quality with much
58,text,1,87.87,292.0,272.12,301.96,183,1124,566,1145,less tokens than long-context LLM taking the
60,text,1,87.52,280.05,272.13,290.01,182,1149,566,1170,whole context as input. Extensive experiments
63,text,1,87.87,268.09,273.78,278.05,183,1174,570,1195,on public benchmark demonstrate the superior-
66,text,1,87.87,256.14,166.62,266.1,183,1199,347,1220,ity of our OP-RAG.
95,text,1,405.92,484.81,450.98,493.77,845,725,939,743,(a) F1 score.
97,text,1,389.4,345.66,467.5,354.63,811,1015,973,1033,(b) Input token count.
98,text,1,306.14,324.12,526.06,334.09,637,1057,1095,1078,Figure 1: Comparisons between the proposed order-
99,text,1,306.14,312.17,524.41,322.13,637,1082,1092,1103,preserve retrieval-augmented generation (OP-RAG) and
100,text,1,306.14,300.21,524.41,310.18,637,1107,1092,1128,approaches using long-context LLMs without RAG
101,text,1,306.14,288.26,524.41,298.44,637,1132,1092,1153,on En.QA dataset of ∞Bench. Our OP-RAG uses
102,text,1,306.14,276.3,526.06,286.27,637,1157,1095,1178,"Llama3.1-70B as generator, which significantly outper-"
